specimen,PD_A,PD_B,CS_A,CS_B
158-37__rec_align_merged.mrk.json,0.02047909138621458,0.020810747891920105,204.73625830975487,204.75821000279177
158-38__rec_align_merged.mrk.json,0.017615346005883725,0.018125417508287528,196.08401485279805,196.09482481869622
158-39__rec_align_merged.mrk.json,0.01990864518390313,0.020381297976804977,202.93713178297264,202.9455963257912
158-40__rec_align_merged.mrk.json,0.016683750285886402,0.0171115413132906,199.4116147159572,199.40567174781648
158-41__rec_align_merged.mrk.json,0.02332626443931404,0.023685788373351276,197.1725218735868,197.15559727318293
158-42__rec_align_merged.mrk.json,0.016144777331389113,0.016581712539600647,199.08902241207568,199.12710509911585
158-43__rec_align_merged.mrk.json,0.019860435611636626,0.020221793075717778,198.57562506805849,198.57106550301037
158-44__rec_align_merged.mrk.json,0.01506068707594954,0.015501601343363364,193.30109796848672,193.32830845467748
158-45__rec_align_merged.mrk.json,0.017575650876951072,0.01798410125005437,197.91506350132178,197.9253993131729
158-46__rec_align_merged.mrk.json,0.015182048896631009,0.015615866941823469,200.1777252767206,200.1770104454154
158-47__rec_align_merged.mrk.json,0.018835385465918567,0.019256806791582443,197.75266468716873,197.7380534143492
158-48__rec_align_merged.mrk.json,0.021893714945623716,0.022102650194718517,192.877392554174,192.88409795560477
158-50__rec_align_merged.mrk.json,0.01749398868222233,0.017933056867790738,199.7038230955237,199.71425113882339
158-8__rec_align_merged.mrk.json,0.019664859123892545,0.019967711642957277,200.5968020473492,200.5918086348708
158-9__rec_align_merged.mrk.json,0.018019178740984767,0.018493144173194535,197.2954486616087,197.30740448938147
158_10_rec_align_merged.mrk.json,0.015369805207573882,0.016008144030921528,192.22628553373,192.20813203411532
158_11__rec_align_merged.mrk.json,0.01572783392837743,0.016356012817898797,196.31480807774875,196.2961604479396
158_12__rec_align_merged.mrk.json,0.018689924213191194,0.019111840200918086,196.7758897265324,196.76844667666612
158_13__rec_align_merged.mrk.json,0.013671881967972642,0.01431390262755392,199.24910638479756,199.2582839009267
158_14__rec_align_merged.mrk.json,0.018714883955084128,0.01897140218241402,201.76043224649,201.75216982576495
158_15__rec_align_merged.mrk.json,0.015952346337991995,0.016283816388790517,195.43267819783344,195.43663643505982
158_16__rec_align_merged.mrk.json,0.014493362191581325,0.015131550191331366,202.90927989588917,202.91047991249744
158_17__rec_align_merged.mrk.json,0.018140196383710568,0.018457246690826584,202.6807730498305,202.68438802681493
158_18__rec_align_merged.mrk.json,0.017916816181592972,0.018422961335793228,196.3652438048025,196.39002387497678
158_19__rec_align_merged.mrk.json,0.021131810563611107,0.021439079020379087,201.10685172002835,201.09693712655846
158_1_rec_align_merged.mrk.json,0.02533164328492444,0.02563928734670965,189.91299484154882,189.90652316212112
158_20__rec_align_merged.mrk.json,0.01405697101567943,0.014684994825135978,195.28218114334973,195.31389639125683
158_2_rec_align_merged.mrk.json,0.020356385797284486,0.02084962727230736,191.36019869958352,191.3644996442468
158_3_rec_align_merged.mrk.json,0.031228103445152054,0.03138134065572666,187.29346899723473,187.30646899867583
