specimen,PD_A_joint,PD_B_joint,delta_PDB_minus_PDA,pairwise_ProcD_A_vs_B
159_3_rec_align_merged.mrk.json,0.01844558642772985,0.018948746475666037,0.0005031600479361853,0.004572526117062694
159_4_rec_align_merged.mrk.json,0.020950461796108544,0.021234606088944473,0.0002841442928359292,0.003993135643148647
159_7__rec_align_merged.mrk.json,0.02213923694272532,0.022485158799662116,0.00034592185693679486,0.004122779528424824
159_8__rec_align_merged.mrk.json,0.02180987082829072,0.022128470843102602,0.0003186000148118831,0.0045616221837276125
159_9__rec_align_merged.mrk.json,0.017296526664121053,0.01775258803636406,0.0004560613722430079,0.004554180633142547
160-17__rec_align_merged.mrk.json,0.02175447195310451,0.022113418993001812,0.00035894703989730256,0.004349304877505879
160-34__rec_align_merged.mrk.json,0.015695876848595136,0.016129400920916342,0.0004335240723212057,0.004225284248664235
160-35__rec_align_merged.mrk.json,0.01931158714705165,0.0195934637732328,0.00028187662618114895,0.00523625579359705
160-36__rec_align_merged.mrk.json,0.015324075104858639,0.015816305192905576,0.0004922300880469375,0.004496052609903672
160-37__rec_align_merged.mrk.json,0.024055248394589418,0.024354072459122206,0.00029882406453278845,0.004648059618066004
160-38__rec_align_merged.mrk.json,0.021938736892639542,0.02229809454677158,0.00035935765413203785,0.004107838844320174
160-40__rec_align_merged.mrk.json,0.020883103966829672,0.021224833216938323,0.0003417292501086515,0.004406290369886479
160-41__rec_align_merged.mrk.json,0.018586859740457994,0.01906436813947886,0.00047750839902086645,0.004611479749085169
160-42__rec_align_merged.mrk.json,0.0209180753069764,0.0212027724536156,0.0002846971466392012,0.004414663398573271
160-43__rec_align_merged.mrk.json,0.022164484103005182,0.022487643832897607,0.0003231597298924242,0.0044886658974506175
160-44__rec_align_merged.mrk.json,0.01904355046745412,0.01948761487582833,0.0004440644083742104,0.004249058033065913
160-45__rec_align_merged.mrk.json,0.01760860374341598,0.01814207611135382,0.00053347236793784,0.004442071302552979
160-46__rec_align_merged.mrk.json,0.016910964308662853,0.01732902540524325,0.0004180610965803973,0.004331996572662922
160-47__rec_align_merged.mrk.json,0.015411327002638057,0.015939860186411314,0.0005285331837732565,0.0042856499966695055
160-48__rec_align_merged.mrk.json,0.017960825446256396,0.018410795431986194,0.00044996998572979785,0.004321825635598665
160-49__rec_align_merged.mrk.json,0.01730082485476394,0.017793252422180203,0.0004924275674162634,0.004071740698868345
160-50__rec_align_merged.mrk.json,0.017447437831344115,0.018102342980197642,0.0006549051488535275,0.004574320608769784
160-51__rec_align_merged.mrk.json,0.014761822175901884,0.015284779090133647,0.000522956914231763,0.004478123435634123
160-52__rec_align_merged.mrk.json,0.019079328387790563,0.019486122227355577,0.0004067938395650138,0.004444604276433815
160-53__rec_align_merged.mrk.json,0.01616973141228595,0.016605052482005115,0.0004353210697191634,0.004600502356935903
160_10__rec_align_merged.mrk.json,0.015796887001197732,0.016206743949545025,0.00040985694834729317,0.00453164866565787
160_11__rec_align_merged.mrk.json,0.017826377066124766,0.018134041008433733,0.00030766394230896665,0.004123548118228109
160_12__rec_align_merged.mrk.json,0.020915426995049217,0.021176888653593483,0.0002614616585442653,0.004510381430080648
160_13_rec_align_merged.mrk.json,0.017458799802696677,0.017962459981935398,0.0005036601792387206,0.004170434749207733
160_14_rec_align_merged.mrk.json,0.021204287380612172,0.02149343194328067,0.0002891445626684967,0.004146429685847281
160_15_rec_align_merged.mrk.json,0.014623948408157152,0.015176653384303046,0.0005527049761458944,0.004248832042492193
160_16__rec_align_merged.mrk.json,0.01777846104424008,0.018251069552488806,0.0004726085082487272,0.004132758594097394
160_18_rec_align_merged.mrk.json,0.021519062711733407,0.02187307042626251,0.0003540077145291025,0.004476697566841184
160_19__rec_align_merged.mrk.json,0.020337448487476633,0.02074147600016187,0.0004040275126852358,0.004337444125450698
160_21_rec_align_merged.mrk.json,0.016380657127241047,0.016724428443162773,0.00034377131592172594,0.00415068633213189
